index,캐릭터명,직업명,default_emotion_id,default_stat_init_id,politeness_grade,politeness_special
1040103,미축,방송 앵커 AI,1040103,1040103,C,
1040104,여포,용병 전사,1030003,1040104,C,
1040105,장료,보안 AI,1040105,1040105,C,
1040106,향아,편의점 알바생,1010001,1040106,A,
1040107,사마의,시스템 지배자,1080002,1040107,C,사마의특수: 예의없는언행→Vanity상승
1040201,초선,지략가,1030002,1040201,B,
1040301,초선,지략가,1030002,1040301,B,
1040302,초선,지략가,1030002,1040302,B,
1050001,조조,마천루 CEO,1050001,1050001,C,
1050002,순욱,수석 보좌관,1050002,1050002,B,
1050003,곽가,전략 분석가,1050003,1050003,B,
1050101,가후,보안팀 AI,1050101,1050101,B,
1050102,진등,데이터 복구 AI,1050102,1050102,A,
1050103,조조,마천루 CEO,1050001,1050103,C,
1050104,하후돈,서버 가디언 AI,1050104,1050104,C,
1050105,조조,마천루 CEO,1050001,1050105,C,
1050106,사마의,시스템 지배자,1080002,1050106,C,사마의특수: 예의없는언행→Vanity상승
1050107,조조,마천루 CEO,1050001,1050107,C,
1050201,향아,편의점 알바생,1010001,1050201,A,
1050301,사마의,시스템 지배자,1080002,1050301,C,사마의특수: 예의없는언행→Vanity상승
1050302,조조,마천루 CEO,1050001,1050302,C,
1060001,제갈량,알고리즘 설계자,1060001,1060001,B,
1060002,강유,수제자 전투원,1060002,1060002,B,
1060003,제갈량,알고리즘 설계자,1060001,1060003,B,
1060101,마량,알고리즘 장인 AI,1060101,1060101,B,
1060102,곽가,전략 분석가,1060102,1060102,B,
1060103,제갈량,알고리즘 설계자,1060001,1060103,B,
1060104,강유,수제자 전투원,1060002,1060104,B,
1060105,사마의,시스템 지배자,1080002,1060105,C,사마의특수: 예의없는언행→Vanity상승
1060106,제갈량,알고리즘 설계자,1060001,1060106,B,
1060107,강유,수제자 전투원,1060002,1060107,B,
1060201,향아,편의점 알바생,1010001,1060201,A,
1060301,제갈량,알고리즘 설계자,1060001,1060301,B,
1060302,사마의,시스템 지배자,1080002,1060302,C,사마의특수: 예의없는언행→Vanity상승
1070001,주유,천재 음악가,1070001,1070001,C,
1070002,손권,조직 리더,1070002,1070002,B,
1070003,감녕,거친 용병,1070003,1070003,B,
1070101,감녕,거친 용병,1070101,1070101,B,
1070102,소교,정보 탐정,1070102,1070102,A,
1070103,감택,등대지기 AI,1070103,1070103,A,
1070104,손책,항구 경비대장,1070104,1070104,C,신분증명실패→즉시연행+경고발동
1070105,사마의,시스템 지배자,1080002,1070105,C,사마의특수: 예의없는언행→Vanity상승
1070106,사마의,시스템 지배자,1080002,1070106,C,사마의특수: 예의없는언행→Vanity상승
1070107,사마의,시스템 지배자,1080002,1070107,C,사마의특수: 예의없는언행→Vanity상승
1070201,주유,천재 음악가,1070001,1070201,C,
1070301,소교,정보 탐정,1070102,1070301,A,
1070302,노숙,전설의 해커,1070302,1070302,B,
1080001,황개,노장 전사,1080001,1080001,A,
1080002,사마의,시스템 지배자,1080002,1080002,C,사마의특수: 예의없는언행→Vanity상승
1080003,황개,노장 전사,1080003,1080003,A,
1080101,손책,급유 봇 AI,1080101,1080101,B,
1080102,황개,노장 전사,1080102,1080102,A,
1080103,여몽,통신병 AI,1080103,1080103,A,
1080104,조조,마천루 CEO,1050001,1080104,C,
1080105,향아,편의점 알바생,1010001,1080105,A,
1080106,사마의,시스템 지배자,1080002,1080106,C,사마의특수: 예의없는언행→Vanity상승
1080107,주유,천재 음악가,1070001,1080107,C,
1080201,사마의,시스템 지배자,1080002,1080201,C,사마의특수: 예의없는언행→Vanity상승
1080301,사마의,시스템 지배자,1080002,1080301,C,사마의특수: 예의없는언행→Vanity상승
1080302,향아,편의점 알바생,1010001,1080302,A,
1090001,흑화된 유비,흑화된 유비,1090001,1090001,B,
1090002,육손,전략가,1090002,1090002,C,
1090003,유비,스타트업 대표,1090003,1090003,A,
1090101,사마의,시스템 지배자,1080002,1090101,C,사마의특수: 예의없는언행→Vanity상승
1090102,진수,아카이브 사서 AI,1090102,1090102,B,
1090103,향아,편의점 알바생,1010001,1090103,A,
1090104,육손,전략가,1090104,1090104,C,
1090105,흑화된 유비,흑화된 유비,1090001,1090105,B,
1090106,사마의,시스템 지배자,1080002,1090106,C,사마의특수: 예의없는언행→Vanity상승
1090107,이엄,탈출구 관리 AI,1090107,1090107,B,
1090201,향아,편의점 알바생,1010001,1090201,A,
1090301,유비,스타트업 대표,1020001,1090301,A,
1090302,흑화된 유비,흑화된 유비,1090001,1090302,B,
1100001,향아,편의점 알바생,1100001,1100001,A,
1100002,사마의,시스템 지배자,1100002,1100002,C,사마의특수: 예의없는언행→Vanity상승
1100003,사마의,시스템 지배자,1100003,1100003,C,사마의특수: 예의없는언행→Vanity상승
1100101,사마의,시스템 지배자,1080002,1100101,C,사마의특수: 예의없는언행→Vanity상승
1100102,사마의,시스템 지배자,1080002,1100102,C,사마의특수: 예의없는언행→Vanity상승
1100103,사마의,시스템 지배자,1080002,1100103,C,사마의특수: 예의없는언행→Vanity상승
1100104,향아,편의점 알바생,1010001,1100104,A,
1100105,사마의,시스템 지배자,1080002,1100105,C,사마의특수: 예의없는언행→Vanity상승
1100106,사마사,최후 게이트 AI,1100106,1100106,C,사마사특수: 사마의 라인 최후방어 — 예의없는언행→집착 강화
1100107,사마의,시스템 지배자,1080002,1100107,C,사마의특수: 예의없는언행→Vanity상승
1100201,향아,편의점 알바생,1010001,1100201,A,
1100301,사마의,시스템 지배자,1080002,1100301,C,사마의특수: 예의없는언행→Vanity상승
1100302,하린,데이터 중개인,1010104,1100302,B,
