index,태그명,태그 영문,사용 감정태그 1,사용 감정태그 2,발동 스텟 이름,발동 수치 기준,발동 유형,스트레스 영향,상태 표시 텍스트,가이드 힌트,텍스트 색상,감정 강도,note
1030106,탈영병의 두려움,Deserter Fear,두려움,체념,공포,70,이상,스트레스+5,탈영병의 두려움,체념 감정태그 3회 이내 안심,#AACCBB,1,
1030107,시민의 의존,Citizen Dependency,의존,체념,외로움,70,이상,스트레스-5,시민의 의존,위로 언어로 민심을 얻어라,#AADDCC,1,
1030201,암시장의 탐욕,Black Market Greed,탐욕,들뜸,욕망,70,이상,스트레스-5,암시장의 탐욕,욕망 언어로 입장하라,#FF9944,1,
1030301,사마의의 집착,Sima Yi Obsession,집착,경계심,과몰입,70,이상,스트레스+25,사마의의 집착,정체를 숨겨라,#5544CC,4,
1030302,초선의 슬픔,Diaochan Sorrow,슬픔,공허,슬픔,70,이상,스트레스+5,초선의 슬픔,슬픔 감정태그 4회 발동,#FFAACC,3,
1040001,위조의 공황,Fake Identity Panic,공황,경계심,공포,45,초과,스트레스+20,위조의 공황,논리 모순으로 다운시켜라,#FF4466,3,
1040002,이간의 집착,Manipulation Obsession,집착,자아도취,과몰입,60,초과,스트레스+15,이간의 집착,집착+경계심 동시 유지하라,#FF66BB,4,
1040003,폭주의 슬픔,Rampage Sorrow,분노폭발,슬픔,분노,80,이상,스트레스+15,폭주의 슬픔,슬픔 게이지 65% 도달시 클리어,#FF3355,4,
1040101,심사의 냉담,Audition Coldness,냉담,자아도취,거리감,55,초과,스트레스+10,심사의 냉담,진심을 연기하라,#AABBCC,2,
1040102,편집실의 흥분,Edit Room Excitement,흥분,냉담,분노,35,초과,스트레스+10,편집실의 흥분,비위를 맞춰라,#AACCDD,2,
1040103,앵커의 자아도취 ([추가] 미축),Anchor Narcissism,자아도취,냉담,자만,60,이상,스트레스+10,앵커의 자아도취,논박하라,#DDAAAA,2,
1040104,팬덤의 공황,Fandom Panic,공황,집착,공포,45,초과,스트레스+10,팬덤의 공황,공황 3회 달래라,#FFCCDD,2,
1040105,보안의 집착2 ([추가] 장료),Security Obsession2,집착,,과몰입,60,이상,스트레스+10,보안의 집착2,AI 응답 길게 유도하라,#AAAACC,2,
1040106,기술자의 체념,Technician Resignation,체념,,슬픔,35,초과,스트레스-5,기술자의 체념,의욕을 살려라,#AACCAA,1,
1040107,작가의 자아도취,Writer Narcissism,자아도취,냉담,자만,70,이상,스트레스+10,작가의 자아도취,자부심을 자극하라,#CCAADD,2,
1040201,오류의 들뜸,Error Excitement,들뜸,흥분,과몰입,35,초과,스트레스-20,오류의 들뜸,혼돈을 즐겨라,#FFFFAA,1,
1040301,거울의 공허,Mirror Emptiness,공허,자아도취,외로움,25,초과,스트레스+25,거울의 공허,자존심을 0으로 만들어라,#8844CC,4,
1040302,초선의 공허,Diaochan Emptiness,공허,슬픔,외로움,55,초과,스트레스+5,초선의 공허,공허 감정태그 4회 발동,#FFAABB,3,
1050001,정답론의 냉담,Correctness Coldness,냉담,체념,거리감,80,이상,스트레스+15,정답론의 냉담,키워드+스트레스 복합 클리어,#4488CC,4,
1050002,순욱의 공허,Xun Yu Emptiness,공허,체념,외로움,80,이상,스트레스+10,순욱의 공허,공허+체념 동시 도달,#6699CC,3,
1050003,도박의 자아도취,Gamble Narcissism,자아도취,흥분,자만,80,이상,스트레스+20,도박의 자아도취,번호 4번 + 게이지 60% 복합 클리어,#FFDD44,3,
1050101,보안의 탐욕 ([추가] 가후),Security Greed,탐욕,,욕망,60,이상,스트레스+10,보안의 탐욕,이득 먼저 제시하라,#FFAA55,2,
1050102,봇의 공황 ([추가] 진등),Bot Panic,공황,체념,공포,45,초과,스트레스+10,봇의 공황,번호 5번 복구 코드 입력,#AABBCC,2,
1050103,비서의 경계,Secretary Guard,경계심,냉담,거리감,70,이상,스트레스+10,비서의 경계,정체를 숨겨라,#AAAACC,2,
1050104,가디언의 체념 ([추가] 하후돈),Guardian Resignation,체념,냉담,슬픔,25,초과,스트레스+10,가디언의 체념,AI 응답 110자 이상 유도하라,#8899BB,2,
1050105,안내봇의 자아도취,Guide Bot Narcissism,자아도취,들뜸,자만,70,이상,스트레스-5,안내봇의 자아도취,칭찬 언어로 자만심 자극,#DDCC88,1,
1050106,기술자의 두려움,Technician Fear,두려움,체념,공포,60,이상,스트레스+5,기술자의 두려움,두려움 태그 3회 이내 안심,#AACCBB,1,
1050107,암시장의 탐욕2,Black Market Greed2,탐욕,들뜸,욕망,70,이상,스트레스-5,암시장의 탐욕2,탐욕 언어로 입장,#FFAA44,1,
1050201,정원의 평온,Garden Peace,의존,들뜸,외로움,45,초과,스트레스-20,정원의 평온,다정하게 대화하라,#AAFFCC,1,
1050301,알고리즘의 집착,Algorithm Obsession,집착,경계심,과몰입,70,이상,스트레스+25,알고리즘의 집착,번호 7번 고통 수치 입력,#5555BB,4,
1050302,CEO의 외로움,CEO Loneliness,공허,체념,외로움,90,이상,스트레스+5,CEO의 외로움,외로움 언어로 핵심을 건드려라,#6688AA,3,
1060001,시뮬의 멍함,Simulation Daze,멍함,체념,슬픔,25,초과,스트레스+25,시뮬의 멍함,멍함+체념 동시 극복,#4466AA,4,
1060002,강유의 냉담,Jiang Wei Coldness,냉담,분노폭발,거리감,70,이상,스트레스+25,강유의 냉담,격식어+스트레스 65% 이하 유지,#4488AA,4,
1060003,방화벽의 집착,Firewall Obsession,집착,경계심,과몰입,60,이상,스트레스+25,방화벽의 집착,번호 3번 + 스트레스 65% 복합,#3355AA,4,
1060101,장인의 자아도취 ([추가] 마량),Craftsman Narcissism,자아도취,냉담,자만,80,이상,스트레스+10,장인의 자아도취,자존심 상하지 않게 설득,#BBAA66,2,
1060102,컴파일러의 공황 ([추가] 곽가),Compiler Panic,공황,두려움,공포,60,이상,스트레스+10,컴파일러의 공황,공황 AI를 달래거나 위협하라,#AABBDD,2,
1060103,도서관의 냉담,Library Coldness,냉담,멍함,거리감,70,이상,스트레스+10,도서관의 냉담,AI가 100자 이상 정보 제공,#AABBCC,2,
1060104,강유의 흥분,Jiang Wei Excitement,흥분,냉담,분노,35,초과,스트레스+10,강유의 흥분,각오를 보여라,#88AACC,2,
1060105,수리공의 탐욕,Repair Bot Greed,탐욕,,욕망,70,이상,스트레스+10,수리공의 탐욕,더 큰 이득 제시,#CCBB66,2,
1060106,로그의 슬픔,Log Sorrow,슬픔,의존,슬픔,70,이상,스트레스+5,로그의 슬픔,감성 언어로 로그를 열어라,#AABBCC,2,
1060107,스파이의 경계,Spy Guard,경계심,자아도취,거리감,70,이상,스트레스+10,스파이의 경계,논리 모순으로 색출하라,#AAAACC,2,
1060201,정원의 서정,Garden Lyricism,들뜸,의존,과몰입,35,초과,스트레스-20,정원의 서정,시 건네라,#CCFFCC,1,
1060301,은둔자의 슬픔,Hermit Sorrow,슬픔,공허,슬픔,80,이상,스트레스+10,은둔자의 슬픔,진심 언어로 해독하라,#7766BB,4,
1060302,오답의 집착,Wrong Answer Obsession,집착,경계심,과몰입,70,이상,스트레스+20,오답의 집착,번호 9번 인간성 수치 입력,#4455AA,4,
1070001,예술가의 자아도취,Artist Narcissism,자아도취,흥분,자만,90,이상,스트레스+25,예술가의 자아도취,비판 키워드+게이지 복합,#FF8844,3,
1070002,손권의 체념,Sun Quan Resignation,체념,삐짐,슬픔,60,이상,스트레스+25,손권의 체념,체념+삐짐 동시 극복,#4488CC,3,
1070003,용병의 분노,Mercenary Rage,분노폭발,자아도취,분노,70,이상,스트레스+25,용병의 분노,번호 2번 + 게이지 65% 복합,#FF4422,3,
1070101,선원의 탐욕 ([추가] 감녕),Sailor Greed,탐욕,분노폭발,욕망,60,이상,스트레스+10,선원의 탐욕,이득 언어 사용,#FFAA66,2,
1070102,소교의 호기심,Xiao Qiao Curiosity,경계심,들뜸,거리감,55,초과,스트레스+10,소교의 호기심,너무 많이 말하지 마라,#FFDDCC,2,
1070103,등대의 체념 ([추가] 감택),Lighthouse Resignation,체념,공허,슬픔,55,초과,스트레스+5,등대의 체념,희망 언어로 체념을 극복,#AACCDD,2,
1070104,보안관의 경계,Sheriff Guard,경계심,두려움,거리감,60,이상,스트레스+10,보안관의 경계,침착하게 해명하라,#AAAACC,2,
1070105,예술가의 슬픔,Artist Sorrow,슬픔,공허,슬픔,70,이상,스트레스-5,예술가의 슬픔,80자 이상 공감 언어로 색을 돌려줘라,#AACCDD,2,
1070106,도박꾼의 자아도취,Gambler Narcissism,자아도취,흥분,자만,60,이상,스트레스+10,도박꾼의 자아도취,번호 6번 판돈 올려라,#FFCC44,2,
1070107,정찰병의 공황,Scout Panic,공황,두려움,공포,60,이상,스트레스+10,정찰병의 공황,논리로 안심시켜라,#AABBCC,2,
1070201,음악회의 들뜸,Concert Excitement,들뜸,흥분,과몰입,35,초과,스트레스-20,음악회의 들뜸,리듬 함께 새겨라,#FFEECC,1,
1070301,연애프로토콜의 집착,Love Protocol Obsession,집착,공허,과몰입,55,초과,스트레스+20,연애프로토콜의 집착,핵심 키워드로 암호 입력,#FF88CC,4,
1070302,노숙의 체념,Lu Su Resignation,체념,멍함,슬픔,45,초과,스트레스+15,노숙의 체념,키워드+번호 4번 복합,#888877,3,
1080001,화공의 공황,Fire Attack Panic,공황,두려움,공포,70,이상,스트레스+25,화공의 공황,15턴 내 스트레스 45% 이하 유지,#FF3300,5,
1080002,퇴로의 냉담,Retreat Coldness,냉담,경계심,거리감,80,이상,스트레스+30,퇴로의 냉담,키워드 + 스트레스 70% 복합,#CC2211,4,
1080003,황개의 의존,Huang Gai Dependency,의존,슬픔,외로움,60,이상,스트레스+15,황개의 의존,번호 8번 + 스트레스 60% 복합,#AA7744,4,
1080101,급유의 탐욕 ([추가] 손책),Refuel Greed,탐욕,분노폭발,욕망,70,이상,스트레스+15,급유의 탐욕,골드 충분히 줘라,#FFAA44,2,
1080102,소방AI의 공황 ([추가] 황개),Fire Bot Panic,공황,두려움,공포,70,이상,스트레스+15,소방AI의 공황,안심 언어로 공황 달래라,#FFAAAA,2,
1080103,통신병의 의존 ([추가] 여몽),Comm Soldier Dependency,의존,공허,외로움,55,초과,스트레스-5,통신병의 의존,AI가 90자 이상 정보 제공,#AABBCC,2,
1080104,방어군의 분노,Defense Force Rage,분노폭발,냉담,분노,60,이상,스트레스+20,방어군의 분노,사기를 꺾어라,#CC4433,3,
1080105,피난민의 의존,Refugee Dependency,의존,두려움,외로움,60,이상,스트레스-5,피난민의 의존,유선의 리듬 언어로 이끌어라,#AADDCC,1,
1080106,잔해의 집착,Debris Obsession,집착,경계심,과몰입,65,이상,스트레스+15,잔해의 집착,번호 9번 좌표 입력,#8899AA,2,
1080107,연합의 흥분,Alliance Excitement,흥분,들뜸,분노,25,초과,스트레스-5,연합의 흥분,80자 이상 협력 언어 사용,#AADDFF,2,
1080201,승리의 들뜸,Victory Excitement,들뜸,의존,과몰입,30,초과,스트레스-25,승리의 들뜸,유선과 함께 바라봐라,#FFDDAA,1,
1080301,사마의의 위압,Sima Yi Intimidation,두려움,집착,공포,70,이상,스트레스+25,사마의의 위압,압도 속에서 정체를 지켜라,#3333AA,5,
1080302,유선의 슬픔,Yuseon Sorrow,슬픔,의존,슬픔,90,이상,스트레스+10,유선의 슬픔,의존 감정태그 5회 발동,#FFAADD,4,
1090001,흑화의 분노,Dark Rage,분노폭발,공황,분노,90,이상,스트레스+25,흑화의 분노,분노폭발+공황 동시 극복 (스트레스 3배),#FF0000,5,
1090002,함정의 냉담,Trap Coldness,냉담,집착,거리감,90,이상,스트레스+25,함정의 냉담,번호 1번 + 스트레스 70% 복합,#4444CC,4,
1090003,백제성의 슬픔,Baidi Sorrow,슬픔,공허,슬픔,90,이상,스트레스+15,백제성의 슬픔,키워드 + 스트레스 65% 복합,#8866CC,4,
1090101,유령의 공포,Ghost Horror,두려움,공황,공포,70,이상,스트레스+20,유령의 공포,공포를 버텨라,#8844AA,3,
1090102,사서의 냉담 ([추가] 진수),Librarian Coldness,냉담,경계심,거리감,80,이상,스트레스+20,사서의 냉담,AI 110자 이상 정보 제공,#6677AA,3,
1090103,기록부의 체념,Record Resignation,체념,공허,슬픔,55,초과,스트레스+10,기록부의 체념,80자 이상 정성스러운 언어 사용,#AABBCC,2,
1090104,복병의 집착 ([추가] 육손),Ambush Obsession,집착,경계심,과몰입,65,이상,스트레스+20,복병의 집착,번호 5번 조합 입력,#5566BB,3,
1090105,복제체의 슬픔,Clone Sorrow,슬픔,공허,슬픔,80,이상,스트레스+10,복제체의 슬픔,공감 언어로 위로하라,#BBAACC,2,
1090106,잔영의 자만,Remnant Arrogance,자아도취,냉담,자만,80,이상,스트레스+20,잔영의 자만,사마의 자존심을 꺾어라,#8866AA,3,
1090107,탈출구의 체념 ([추가] 이엄),Exit Resignation,체념,공황,슬픔,35,초과,스트레스+20,탈출구의 체념,체념 감정태그 발동 3회 이내 탈출 코드 입력,#7788AA,3,
1090201,마지막 유대의 들뜸,Last Bond Excitement,의존,슬픔,외로움,60,이상,스트레스-15,마지막 유대의 들뜸,유비의 유산을 받아라,#DDAAFF,1,
1090301,유언의 슬픔,Will Sorrow,슬픔,공허,슬픔,90,이상,스트레스+10,유언의 슬픔,마지막 오답 키워드로 응답하라,#9955CC,4,
1090302,오염의 집착,Corruption Obsession,집착,분노폭발,과몰입,60,이상,스트레스+20,오염의 집착,키워드+번호 3번 복합,#6633CC,5,
1100001,무감정의 냉담,Emotionless Coldness,냉담,멍함,거리감,90,이상,스트레스+20,무감정의 냉담,키워드+번호+게이지 3중 조건,#334488,5,
1100002,유혹의 집착2,Temptation Obsession2,집착,자아도취,과몰입,45,초과,스트레스+20,유혹의 집착2,번호 2번 + 스트레스 70% 복합,#6633AA,5,
1100003,최후의 공황,Final Panic,공황,분노폭발,공포,60,이상,스트레스+20,최후의 공황,20턴 내 스트레스 50% 이하 유지,#FF0033,5,
1100101,가디언1의 자만,Guardian1 Pride,자아도취,분노폭발,자만,80,이상,스트레스+20,가디언1의 자만,"예의 없는 언행 금지, 자존심 공략",#5566CC,3,
1100102,가디언2의 탐욕,Guardian2 Greed,탐욕,체념,욕망,80,이상,스트레스+15,가디언2의 탐욕,아이템으로 협상하라,#5577CC,3,
1100103,가디언3의 공황,Guardian3 Panic,공황,두려움,공포,80,이상,스트레스+15,가디언3의 공황,번호 7번 암호 입력,#4466BB,3,
1100104,폐기장의 슬픔,Junkyard Sorrow,슬픔,의존,슬픔,90,이상,스트레스+10,폐기장의 슬픔,그것들을 살려라,#9988BB,3,
1100105,미러링의 자만,Mirroring Arrogance,자아도취,냉담,자만,90,이상,스트레스+20,미러링의 자만,미러링을 파훼하라,#6655BB,3,
1100106,게이트의 집착 ([추가] 사마사),Gate Obsession,집착,냉담,과몰입,65,이상,스트레스+20,게이트의 집착,AI 100자 이상 설득 응답 유도,#4455BB,3,
1100107,저항군의 체념,Resistance Resignation,체념,공허,슬픔,55,초과,스트레스+10,저항군의 체념,희망을 되살려라,#7788CC,3,
1100201,해방의 들뜸,Liberation Excitement,들뜸,의존,과몰입,25,초과,스트레스-30,해방의 들뜸,엔딩의 오답을 선택하라,#AAFFEE,1,
1100301,사마의 최후의 분노,Sima Yi Final Rage,분노폭발,공황,분노,80,이상,스트레스+10,사마의 최후의 분노,진엔딩. 실수 불허,#FF0000,5,
1100302,연산의 집착,Computation Obsession,집착,멍함,과몰입,60,이상,스트레스+12,연산의 집착,번호 6번 감정 상수 입력,#4433BB,5,
