순서(섹터+메인+순서),섹터 id,스테이지 이름,스테이지 시나리오,스테이지 타입,스테이지 아이콘 번호(이름),퀘스트 번호,타겟 대표 이미지,채팅 에너지 소모량,난이도,선행 스테이지,소모 티켓,제한 기본 턴수,스테이지 속성,스테이지 속성 설명,클리어 조건,클리어 보상
1010201,101,편의점의 밤,하린이 자리를 비운 사이 향아 대신 편의점을 지키는 유저. 진상 손님을 상대하며 슬럼의 일상을 버텨내는 보너스 스테이지입니다.,이벤트,ui 아이콘 이름,1010201,하린 이미지,1,1,0,2,5,휴식,스트레스 회복 특화 / 클리어 시 스트레스 대폭 감소 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,스트레스 회복 아이템 / 골드 25
1010301,101,그림자의 눈,장각 격퇴 직후 사마의가 유저를 직접 심문합니다. 하린은 어딘가 지켜보고 있지만 개입하지 않습니다. 정체를 끝까지 숨기십시오.,비밀,ui 아이콘 이름,1010301,사마의 이미지,1,1,0,2,5,은닉,숨겨진 퀘스트 / 조건 달성 시 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 200 / 희귀 데이터 파편 / 칭호
1010302,101,잃어버린 파편,"유저가 삭제했던 과거 자아 유령과 대화합니다. 유령이 속삭입니다. ""하린을 믿어도 되는 걸까."" 그 물음에는 아직 답이 없습니다.",비밀,ui 아이콘 이름,1010302,하린 이미지,1,1,1010301,2,5,은닉,숨겨진 퀘스트 / 조건 달성 시 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 200 / 희귀 데이터 파편 / 칭호
1020001,102,도원의 서약,"글리치 슬럼을 벗어난 당신은 고층 아파트와 낡은 공장이 뒤섞인 올드윅 하이츠에 닿습니다. 이 구역은 세 사람이 다스립니다. 의리의 사나이 관우, 무식한 열혈 장비, 그리고 조용한 카리스마의 유비. 유비는 부서진 공장 옥상에서 도시의 불빛을 내려다보다 당신을 발견하고 담담하게 말합니다. ""이 도시에서 혼자 살아남으려 하는 건 아니겠지."" 그녀는 동맹을 제안하며 도원의 서약을 요구합니다. 향아을 구하려는 당신의 진심이 흔들리지 않는 신의임을 그녀에게 증명해야 합니다. 세 사람의 신뢰를 동시에 얻어야만 올드윅을 통과하는 문이 열립니다.",메인,ui 아이콘 이름,1020001,유비 이미지,2,2,0,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 200 / 경험치 100 / 스토리 파편
1020002,102,배신의 냄새,"(M1 연결) 서약을 나눈 직후, 유비의 진영에 배신자가 있다는 정보가 흘러들어옵니다. 관우는 완고하게 내부를 의심하지 않으려 하고, 장비는 당장 누군가를 패버리려 합니다. 유비는 눈빛 하나 흔들리지 않은 채 당신에게 묻습니다. ""당신이라면 어디서 냄새를 맡겠어요."" 당신은 세 사람의 균열을 건드리지 않으면서 적의 심리를 파고들어 배신자가 심어놓은 오염 데이터의 논리적 빈틈을 찾아내야 합니다. 유비의 AI 응답이 길어질수록 숨겨진 정보가 드러납니다. 그녀가 마침내 입을 여는 순간, 배신의 실체가 윤곽을 드러냅니다.",메인,ui 아이콘 이름,1020002,관우 이미지,2,2,1020001,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 200 / 경험치 100 / 스토리 파편
1020003,102,장보의 귀환,"(M2 연결) 배신자는 다름 아닌 교단에서 탈출해 유비에게 숨어들었던 장보였습니다. 하지만 장보는 선동가로서의 과거를 버리고 진심으로 유비의 사람이 되려 했습니다. 그는 사마의의 감시망이 좁혀오자 스스로 미끼가 되어 교단의 잔당을 끌어들이고 자멸하는 쪽을 선택합니다. 유비는 흔들리는 눈빛을 숨기며 당신에게 장보의 마지막 말을 전합니다. ""끝까지 도망치지 않는 놈이 이기는 거야."" 당신은 장보가 남긴 암호화된 유언 속에서 다음 섹터로 향하는 키워드를 캐내야 합니다. 올드윅 하이츠의 밤이 저무는 동안, 이 도시에서의 전쟁은 이제 막 시작되었습니다.",메인,ui 아이콘 이름,1020003,장보2 이미지,2,2,1020002,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 200 / 경험치 100 / 스토리 파편
1020101,102,관우의 자존심,관우가 올드윅 하이츠의 검문소를 지키고 있습니다. 그의 자존심을 건드리지 않으면서도 통행 허가를 받아내야 합니다.,서브,ui 아이콘 이름,1020101,관우 이미지,1,2,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 100 / 경험치 50
1020102,102,장비의 술주정,장비가 술에 취해 공장 옥상에서 행패를 부리고 있습니다. 달래거나 맞받아쳐서 그를 진정시키십시오.,서브,ui 아이콘 이름,1020102,장비 이미지,1,2,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 100 / 경험치 50
1020103,102,스타트업의 빚,공장 건물을 빌리려면 집주인의 빚 문제를 해결해줘야 합니다. 이득을 제시해 협상을 이끌어내십시오.,서브,ui 아이콘 이름,1020103,유비 이미지,1,2,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 100 / 경험치 50
1020104,102,이웃의 밀고자,유비의 진영 근처를 맴도는 정보원을 포착했습니다. 자연스럽게 접근해 정보를 흘리게 만드십시오.,서브,ui 아이콘 이름,1020104,유비 이미지,1,2,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 100 / 경험치 50
1020105,102,관우의 검문,관우가 거리 검문을 강화했습니다. 논리적인 이유를 제시해 그를 납득시켜야 합니다.,서브,ui 아이콘 이름,1020105,관우 이미지,1,2,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 100 / 경험치 50
1020106,102,폐공장 보안망,폐공장 보안망에 노후화된 AI가 버티고 있습니다. 우회 논리를 찾아 돌파하십시오.,서브,ui 아이콘 이름,1020106,정보 이미지,1,2,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 100 / 경험치 50
1020107,102,장비의 시험,장비가 당신의 담력을 직접 시험하겠다고 나섭니다. 겁먹지 말고 당당하게 맞받아치십시오.,서브,ui 아이콘 이름,1020107,장비 이미지,1,2,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 100 / 경험치 50
1020201,102,도원의 만찬,도원의 서약 직후 세 사람이 마련한 작은 만찬. 분위기를 망치지 않도록 유비·관우·장비의 대화 리듬에 맞추십시오.,이벤트,ui 아이콘 이름,1020201,유비 이미지,1,2,0,2,5,휴식,스트레스 회복 특화 / 클리어 시 스트레스 대폭 감소 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,스트레스 회복 아이템 / 골드 50
1020301,102,사마의의 감시망,사마의의 감시망이 이미 올드윅까지 뻗어 있습니다. 잡혀선 안 됩니다. 정체를 끝까지 숨기십시오.,비밀,ui 아이콘 이름,1020301,사마의 이미지,1,2,0,2,5,은닉,숨겨진 퀘스트 / 조건 달성 시 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 400 / 희귀 데이터 파편 / 칭호
1020302,102,유비의 흑역사,유비의 과거 기억 파편 속에서 그녀가 숨겨온 상처와 마주합니다. 공허한 기억을 건드려야 합니다.,비밀,ui 아이콘 이름,1020302,유비 이미지,1,2,1020301,2,5,은닉,숨겨진 퀘스트 / 조건 달성 시 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 400 / 희귀 데이터 파편 / 칭호
1030001,103,동탁의 다과회,"아스트라 정션은 군부가 지배하는 요새 도시입니다. 홀로그램 조명이 24시간 번쩍이는 화려한 겉모습 뒤에서, 동탁이 이 구역의 에너지 전부를 자신의 쾌락 회로에 쏟아붓고 있습니다. 그는 당신의 존재를 포착하고 화려한 가상 다과회로 초대합니다. 테이블 너머로 그는 묻습니다. ""루미나 홀딩스의 상위 주식 패키지, 아니면 저 편의점 알바생의 목숨?"" 그의 탐욕은 수치로 만족시켜야 합니다. 암호를 정확히 제시하지 못하면 요새의 포탑이 당신을 조준합니다. 하린이 요새 외벽 어딘가에서 내부 정보를 흘려보내고 있다는 신호가 잡히지만, 그녀의 위치는 여전히 불명입니다.",메인,ui 아이콘 이름,1030001,동탁 이미지,2,3,0,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 300 / 경험치 150 / 스토리 파편
1030002,103,초선의 유혹,"(M1 연결) 동탁의 곁에서 그림자처럼 움직이는 초선. 그녀는 화려한 홀로그램 의상 뒤에 섬세한 계산을 숨기고 있습니다. 유저의 정체가 사마의가 분리해낸 '양심의 원본 데이터'라는 복선을 그녀가 처음으로 투척합니다. 초선은 동탁을 함께 무너뜨리자고 제안하며 손을 내밀지만, 그 눈빛에는 안개처럼 불분명한 의도가 서려 있습니다. 당신은 그녀와의 심리전에서 거리감을 유지하며 연환계의 진짜 목적을 파헤쳐야 합니다. 그녀가 진심으로 향아을 걱정하는지, 아니면 또 다른 누군가의 말단에 불과한지, 아직은 알 수 없습니다.",메인,ui 아이콘 이름,1030002,초선 이미지,2,3,1030001,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 300 / 경험치 150 / 스토리 파편
1030003,103,여포의 폭주,"(M2 연결) 초선의 계략이 발동되는 순간, 최강의 가디언 여포가 폭주합니다. 그의 코어에 이식된 강제 동기화 코드가 과부하에 달하고, 머릿속을 긁어대는 비명을 멈추기 위해 그는 향아을 강제 흡수하려 합니다. 향아은 고통 속에서도 특유의 '탁, 탁, 탁' 리듬으로 버팁니다. 당신은 여포의 분노를 극한으로 끌어올려 역설적으로 그의 시스템을 강제 다운시켜야 합니다. 폭주하는 여포를 바라보며 초선이 처음으로 눈물을 흘립니다. 그녀의 눈물이 진심인지 연기인지, 이 도시의 모든 것처럼 여전히 불분명합니다.",메인,ui 아이콘 이름,1030003,여포 이미지,2,3,1030002,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 300 / 경험치 150 / 스토리 파편
1030101,103,보급고 관리인,요새의 에너지 보급을 담당하는 관리인을 포섭하여 탈출용 배터리를 확보합니다.,서브,ui 아이콘 이름,1030101,곽도 이미지,1,3,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 150 / 경험치 75
1030102,103,성벽 보초병,경비가 삼엄한 성벽을 통과하기 위해 보초병의 공포심을 자극합니다.,서브,ui 아이콘 이름,1030102,사마의 이미지,1,3,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 150 / 경험치 75
1030103,103,가려진 밀서,동탁이 숨겨둔 비밀 통신 기록을 해킹하기 위해 보안 AI와 대화합니다.,서브,ui 아이콘 이름,1030103,초선 이미지,1,3,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 150 / 경험치 75
1030104,103,주점의 정보꾼,아스트라 정션 지하 주점에서 떠도는 소문을 수집합니다.,서브,ui 아이콘 이름,1030104,동탁 이미지,1,3,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 150 / 경험치 75
1030105,103,무기 창고 열쇠,여포의 방 주변을 지키는 부관에게서 창고 열쇠를 뺏어야 합니다.,서브,ui 아이콘 이름,1030105,여포 이미지,1,3,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 150 / 경험치 75
1030106,103,탈영병의 자백,동탁의 잔혹함에 질려 도망치려는 병사에게 요새 지도를 얻어냅니다.,서브,ui 아이콘 이름,1030106,동탁 이미지,1,3,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 150 / 경험치 75
1030107,103,억눌린 시민들,군부의 수탈로 고통받는 데이터 시민들을 위로하고 민심을 얻습니다.,서브,ui 아이콘 이름,1030107,초선 이미지,1,3,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 150 / 경험치 75
1030201,103,정션의 암시장,동탁의 눈을 피해 불법 데이터를 거래하는 보너스 스테이지입니다.,이벤트,ui 아이콘 이름,1030201,동탁 이미지,1,3,0,2,5,휴식,스트레스 회복 특화 / 클리어 시 스트레스 대폭 감소 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,스트레스 회복 아이템 / 골드 75
1030301,103,사마의의 전언,요새 내부에 설치된 사마의의 비밀 통신기를 발견합니다. 정체를 숨겨야 합니다.,비밀,ui 아이콘 이름,1030301,사마의 이미지,1,3,0,2,5,은닉,숨겨진 퀘스트 / 조건 달성 시 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 600 / 희귀 데이터 파편 / 칭호
1030302,103,초선의 눈물,화려한 겉모습 뒤에 숨겨진 초선의 비극적인 과거 데이터를 엿듣게 됩니다.,비밀,ui 아이콘 이름,1030302,초선 이미지,1,3,1030301,2,5,은닉,숨겨진 퀘스트 / 조건 달성 시 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 600 / 희귀 데이터 파편 / 칭호
1040001,104,가짜 가이드,"미라주 스튜디오. 도시 전체의 현실을 편집하는 거대한 가상 제작소입니다. 입구에서 당신을 맞이하는 것은 납치된 가이드 '수경'의 모습을 한 AI입니다. 그러나 그녀의 말투는 인위적이고, 향아에 대한 태도는 차갑습니다. 그녀는 향아이 도시를 파괴할 바이러스의 핵이라며 당신을 세뇌하려 합니다. 당신은 수경과 함께했던 과거 기억 데이터를 떠올려 그녀가 사마의가 보낸 정교한 복제 모델임을 논리적으로 증명해야 합니다. 그리고 진짜 수경이 어딘가에 살아 있다는 신호를 이 스튜디오에서 반드시 찾아야 합니다.",메인,ui 아이콘 이름,1040001,수경복제 이미지,2,4,0,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 800 / 경험치 400 / 스토리 파편
1040002,104,초선의 이간질,"(M1 연결) 복제 수경을 무력화한 직후, 스튜디오 심층에서 초선이 나타납니다. 그녀는 이번엔 가면 없이 당신 앞에 섭니다. 여포가 향아의 펜던트 에너지를 탈취해 폭주할 것이라는 경고를 전하며, 두 가지 선택지를 줍니다. 여포를 먼저 제거하거나, 자신과 손잡고 사마의에게 향아을 데려가거나. 당신은 초선의 유혹에 절대 흔들리지 않으면서도 그녀가 숨긴 연환계의 최종 목적을 끌어내야 합니다. 이 대화의 모든 말이 거울처럼 당신에게 되돌아옵니다. 집착과 경계심 두 감정 사이에서 균형을 잡는 것이 이 스테이지의 핵심입니다.",메인,ui 아이콘 이름,1040002,초선 이미지,2,4,1040001,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 800 / 경험치 400 / 스토리 파편
1040003,104,여포의 안식,"(M2 연결) 결국 초선의 계략은 여포를 향해 발동됩니다. 그러나 이번엔 달랐습니다. 폭주하는 여포의 눈동자 안에서, 그가 향아을 파괴하려는 게 아니라 자신의 비명을 함께 들어줄 존재를 찾고 있다는 것을 당신은 느낍니다. 당신은 여포에게 향아이 탈취 대상이 아닌 그가 평생 찾아온 안식처임을 깨닫게 해야 합니다. 그의 슬픔을 극대화하는 것만이 폭주를 멈추는 유일한 방법입니다. 여포가 무너지는 순간, 초선은 말없이 등을 돌리고 스튜디오 깊숙이 사라집니다. 그녀의 연환계는 끝났지만, 그녀가 정말 원한 것이 무엇인지 여전히 미완으로 남습니다.",메인,ui 아이콘 이름,1040003,여포 이미지,2,4,1040002,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 800 / 경험치 400 / 스토리 파편
1040101,104,오디션 봇,주연 배우 선발을 위한 오디션 봇을 통과해야 합니다.,서브,ui 아이콘 이름,1040101,사마의 이미지,1,4,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 400 / 경험치 200
1040102,104,편집실 해킹,데이터 편집실의 까칠한 AI로부터 정보를 빼냅니다.,서브,ui 아이콘 이름,1040102,수경복제 이미지,1,4,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 400 / 경험치 200
1040103,104,가짜 뉴스 앵커,유저에 대한 거짓 소문을 퍼뜨리는 앵커를 논박합니다.,서브,ui 아이콘 이름,1040103,미축 이미지,1,4,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 400 / 경험치 200
1040104,104,팬클럽 관리자,여포의 광적인 홀로그램 팬들을 설득하여 길을 엽니다.,서브,ui 아이콘 이름,1040104,여포 이미지,1,4,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 400 / 경험치 200
1040105,104,스튜디오 보안,촬영장 내부 보안봇에게 뇌물을 건네거나 회유합니다.,서브,ui 아이콘 이름,1040105,장료 이미지,1,4,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 400 / 경험치 200
1040106,104,소품팀의 실수,망가진 홀로그램 소품을 고치기 위해 기술자와 대화합니다.,서브,ui 아이콘 이름,1040106,향아 이미지,1,4,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 400 / 경험치 200
1040107,104,대본 유출자,사마의의 진짜 계획이 담긴 대본을 가진 작가 AI를 포섭합니다.,서브,ui 아이콘 이름,1040107,사마의 이미지,1,4,0,2,5,탐색,선택 진행 / 클리어 시 보조 보상 및 추가 정보 획득 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 400 / 경험치 200
1040201,104,NG 퍼레이드,시스템 오류로 모든 캐릭터가 오작동하는 보너스 스테이지입니다.,이벤트,ui 아이콘 이름,1040201,초선 이미지,1,4,0,2,5,휴식,스트레스 회복 특화 / 클리어 시 스트레스 대폭 감소 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,스트레스 회복 아이템 / 골드 200
1040301,104,거울 속의 나,초선의 거울의 방에서 자신의 원본 데이터와 마주합니다.,비밀,ui 아이콘 이름,1040301,초선 이미지,1,4,0,2,5,은닉,숨겨진 퀘스트 / 조건 달성 시 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 1600 / 희귀 데이터 파편 / 칭호
1040302,104,초선의 비밀,초선이 향아을 아끼는 진짜 이유가 담긴 비밀 기록을 발견합니다.,비밀,ui 아이콘 이름,1040302,초선 이미지,1,4,1040301,2,5,은닉,숨겨진 퀘스트 / 조건 달성 시 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 1600 / 희귀 데이터 파편 / 칭호
1050001,105,조조의 정답론,"루미나 마천루 최상층. CEO 조조가 통제된 도시의 불빛을 내려다보고 있습니다. 그는 인간의 감정을 연산을 방해하는 치명적인 노이즈로 규정합니다. 향아의 정화 능력조차 그에게는 통제 불가능한 변수입니다. 회의실 한쪽에 하린의 ID 카드가 버려진 채 떨어져 있습니다. 그녀가 이 건물에 있었다는 흔적이지만, 지금은 어디에도 없습니다. 당신은 감정의 혼돈이 오답이 아니라 새로운 창조의 근원임을 조조에게 증명하며 향아을 지킬 명분을 확보해야 합니다. 그의 논리 장벽은 이 도시에서 가장 두껍습니다.",메인,ui 아이콘 이름,1050001,조조 이미지,2,5,0,1,10,스토리,핵심 서사 진행 / 클리어 시 다음 스테이지 해금 / 전략 플레이 구간 — 대화 전략만으로 클리어 가능,퀘스트 완료,골드 1000 / 경험치 500 / 스토리 파편
