index,스텟이름,스트레스,자존심,이해관계,거리감,과몰입,분노,슬픔,공포,자만,욕망,외로움,적합 캐릭터 유형
1080101,손책_급유봇,40,30,60,30,45,20,10,10,10,60,10,이익형
1080102,황개_소방AI,40,10,20,30,35,10,10,60,10,10,20,공황형
1080103,여몽_통신병,40,10,20,30,30,10,30,20,10,10,40,감성형
1080104,방어군AI,40,20,10,60,40,50,10,10,30,10,10,전사형
1080105,피난민AI,40,10,20,20,25,10,30,50,10,10,50,감성형
1080106,서버잔해,40,10,10,70,55,10,10,20,20,10,10,기계형
1080107,연합함대,40,40,30,40,35,10,20,10,20,10,20,협력형
1080201,승리이벤트,35,50,30,20,15,10,30,10,10,10,30,이벤트
1080301,사마의_강림,50,5,5,90,60,10,10,60,10,10,10,신위압형
1080302,향아_눈물,50,10,10,60,20,10,90,20,10,10,50,감성형
1090001,유비_흑화,50,10,5,70,30,80,60,40,20,10,20,폭주형
1090002,육손,50,10,10,80,50,20,10,10,60,10,10,전략형
1090003,유비_임종,58,10,10,60,20,10,80,10,10,10,70,감성형
1090101,데이터유령,55,10,10,50,30,30,40,60,10,10,40,공포형
1090102,진수_사서AI,55,10,10,70,60,10,10,20,30,10,10,분석형
1090103,기록부봇,55,10,20,40,35,10,40,20,10,10,40,무기력형
1090104,육손_복병,55,10,10,70,55,10,10,20,30,10,10,기계형
1090105,유비복제체,55,10,10,50,25,10,70,10,10,10,60,감성형
1090106,사마의잔영,55,10,10,70,45,10,10,10,70,10,10,오만형
1090107,이엄_탈출구,55,10,10,60,50,10,20,30,10,10,20,기계형
1090201,마지막기록,50,30,20,30,15,10,60,10,10,10,50,이벤트
1090301,유비유언,65,5,5,70,20,10,90,10,10,10,70,감성형
1090302,흑화근원,58,5,5,80,50,30,10,20,30,10,10,오염형
1100001,향아_무감정,65,5,5,80,20,10,80,10,10,10,20,기계형
1100002,사마의_유혹,70,5,5,90,30,10,10,10,90,10,10,신적존재형
1100003,마지막박동,75,5,5,80,20,50,80,50,10,10,30,최종보스형
1100101,코어가디언1,50,10,10,70,50,20,10,10,70,10,10,자존형
1100102,코어가디언2,50,10,10,70,50,10,10,10,20,70,20,이익형
1100103,코어가디언3,50,10,10,70,50,10,10,70,10,10,20,공황형
1100104,데이터폐기장,50,5,5,60,20,10,80,10,10,10,70,감성형
1100105,복제지능,50,5,5,80,45,10,10,10,80,10,10,오만형
1100106,사마사_뉴럴게이트,50,5,5,85,55,10,10,20,20,10,10,기계형
1100107,저항군AI,50,10,10,60,30,10,40,20,10,10,60,우울형
1100201,에테르해방,45,50,30,10,10,10,30,10,10,10,30,이벤트
1100301,사마의_최후,68,5,5,90,30,70,10,60,10,10,10,최종보스형
1100302,완전한연산,65,5,5,85,50,10,10,10,80,10,10,기계형
